0,RT @itventsnews: The bear from The Revenant turned up to support Leonardo DiCaprio at the #Oscars... https://t.co/JVFZ7Nq6nI https://t.co/X…,bear revenant turned up support leonardo dicaprio
1,RT @GlamourMagUK: The 12 #Oscars outfits EVERYONE's talking about: https://t.co/gTrsVh2YrN https://t.co/P4oGv2iwvj,12 outfits everyones talking
1,"RT @YahiaFaread: So don't forget, forget about a thing called love.#Oscars 💙 https://t.co/uochml8b45",dont notforget forget thing called love 💙
0,RT @FaithChildMusic: 23 years later after his first nom in 1996 😩😭🙌🏾👏🏾🏆 This isn't photoshop. So happy for #LeonardoDiCaprio 👊🏾 #Oscars htt…,23 years later first nom 1996 😩😭🙌🏾👏🏾🏆 isnt notphotoshop happy 👊🏾 htt…
0,I liked a @YouTube video https://t.co/F7jXi89PZl BEST ACTOR OSCARS 2016 LEONARDO DICAPRIO FULL SPEECH HD,liked video best actor oscars 2016 leonardo dicaprio full speech hd
0,RT @PookisMahi: Oscars 2016: The complete list of winners and nominees https://t.co/mHhqoSqU0S,oscars 2016 complete list winners nominees
0,RT @MOVlECLIPS: LEO'S FULL SPEECH RT TO SAVE A LIFE https://t.co/lvOr4IMOY5,leos full speech save life
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
0,RT @fusetv: .@LadyGaga brought sexual assault victims onstage for her incredible #Oscars performance: https://t.co/3VXFLDJoCw https://t.co/…,brought sexual assault victims onstage incredible performance
-1,RT @lipringvocal: LOOK AT THEM BOTH #Oscars https://t.co/Z6touY8zsr,look them
0,"RT @tasharowmanoff: LOOK AT CHRIS EVANS, DAMNNNNN CHRISTOPHER, DAMNNN #OSCARS https://t.co/bjTVQ468pl",look chris evans damnnn christopher damnnn
-1,Daisy presenting 'Best Documentary' at @TheAcademy #Oscars https://t.co/Y16OL9Z4rX,daisy presenting best documentary
-1,RT @alluarjun: Yayyy ! Leonardo DiCaprio wins the OSCARS for BEST ACTOR 👏🏼👏🏼👏🏼 Been Waiting for last 2 Years to see this! Soo Happy for him…,yayyy leonardo dicaprio wins oscars best actor 👏🏼👏🏼👏🏼 waiting last 2 years see soo happy him…
1,Red carpet frocks and frills: https://t.co/VJkSSwy8lG,red carpet frocks frills
1,Take Beauty Notes from #Oscars Winners @BrieLarson and #AliciaVikander https://t.co/SQrigHjhqD #candymag,take beauty notes winners
0,"RT @MTV: Soak it up, @LeoDiCaprio. #Oscars https://t.co/10hzfTwVNa",soak up
-1,RT @DaniellePeazer: 🙌🏼☺️ yayyy for @LeoDiCaprio #Oscars  https://t.co/aJ2tE4TV4v,🙌🏼☺️ yayyy
-1,RT @xBesideHemmox: So cute #Oscars https://t.co/xrGtP9JVVE,cute
-1,"You know @TheAcademy is full of old boring people when Spotlight wins over Mad Max. While both good, Mad Max is better by miles #Oscars",know full old boring people spotlight wins over mad max good mad max better miles
0,RT @PookisMahi: Oscars 2016: The complete list of winners and nominees https://t.co/mHhqoSqU0S,oscars 2016 complete list winners nominees
1,RT @supermorgy: Congrats Leo! #Oscars #BestActor #TheRevenant #LeonardoDiCaprio https://t.co/5SPpiuhP4n,congrats leo
-1,"Priyanka Chopra walks down red carpet at Oscars 2016 
 https://t.co/RPXNmdELI4",priyanka chopra walks down red carpet oscars 2016
-1,RT @YahooMoviesUK: Here's all the photos you need to see from the #Oscars: https://t.co/QYkYH0VBw6 https://t.co/e9m3IxODrA,photos need see
1,"RT @danielcohen82: Wow - tweets about Leo beat the Ellen selfie!
How the 2016 #Oscars unfolded on Twitter https://t.co/PTiZuNiUvt https://t…",wow tweets leo beat ellen selfie 2016 unfolded twitter
0,"RT @sweerans: Eddie redmayne's reaction to Alicia Vikander thanking him furing her oscar acceptance speech #Oscars 
My babies 😭 https://t.c…",eddie redmaynes reaction alicia vikander thanking furing oscar acceptance speech babies 😭
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
1,"RT @Chris_Stuckmann: Spotlight is a very important film, and also a great one. Happy to see it honored. #Oscars",spotlight very important film also great one happy see honored
0,"RT @elizabethforma: And no Best Picture award, but #TheBigShort made clear we will not forget that Wall St broke our economy. This ain't ov…",no notbest picture award made clear will forget wall st broke our economy aint ov…
-1,RT @ZIPERATIVO: Jack &amp; Rose is Real #Oscars https://t.co/q1K1oEL8ex,jack rose real
0,RT @LeoDiCaprioFans: Leo's full Oscar speech. https://t.co/s1nD9bUptb,leos full oscar speech
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
0,RT @Independent: Alicia Vikander wins Best Supporting Actress for The Danish Girl #Oscars https://t.co/pTzrF3stk7 https://t.co/GkjdRULXbG,alicia vikander wins best supporting actress danish girl
1,The main highlight would be when @LeoDiCaprio finally won something he deserves.. And the  #Oscars goes tooo...,main highlight finally won something deserves goes tooo
-1,RT @lifeaseva: Leo be waking up tomorrow like #Oscars https://t.co/r3p2JHnYUR,leo waking up tomorrow like
1,RT @eonline: Never forget the day Leonardo DiCaprio made the Internet explode thanks to his #Oscars win: https://t.co/AK6UFtou5Z https://t.…,never forget day leonardo dicaprio made internet explode thanks win
-1,RT @eonline: Kate Winslet and Leonardo DiCaprio are looking at each other here and no one can convince us otherwise. ❤ #Oscars https://t.co…,kate winslet leonardo dicaprio looking other no notone convince otherwise ❤
1,"RT @JoeScaramanga: Roger Deakins this morning... again.
#Oscars https://t.co/zAr60xEqM0",roger deakins morning
-1,RT @MsProudLeanatic: BFF goals ❤️ #Oscars https://t.co/xxvdbEq62F,bff goals ❤️
1,RT @KeeganAllen: Just give @LeoDiCaprio the #oscars ...all of them. Come on now. He is the best actor all the time.,just give them come now best actor time
0,"RT @JustReIatabIe: LEO'S FULL SPEECH

RT TO SAVE A LIFE https://t.co/IdSdoLIYvE",leos full speech save life
0,&amp; here some video highlights of the winners https://t.co/nFNmQ7CYbk #Oscars2016,some video highlights winners
1,"RT @DangMattSmith: After finally winning tonight at the #Oscars , you know @LeoDiCaprio be like... https://t.co/fjrnYjPgDS",finally winning tonight know like
-1,"RT @br_uk: Sorry Leo, this is who should have won Best Actor... #Oscars https://t.co/kyw0QIYk5P",sorry leo won best actor
-1,"RT @AtifaAtiq: How to care your Eyebrows and Eyelashes
https://t.co/r6NnCQCzUX
#HairTransplants
#HairTransplantinAbuDhabi #Oscars #Budget20…",care eyebrows eyelashes
0,RT @gaga_countess: Lady Gaga with all the rape survivors she brought on stage at the #Oscars https://t.co/ZWFn95BOc9,lady ga rape survivors brought stage
1,RT @SecuteBelieber: Leo's speech was so beautiful at the #Oscars https://t.co/fWOxbBN1za,leos speech beautiful
-1,EMILY BLUNT AT THE 2016 OSCARS RED CARPET  https://t.co/n2f5LmM8Fq https://t.co/BWWkFg3fcM,emily blunt 2016 oscars red carpet
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
1,"RT @GuitarmanDan: Whooooo go Leo, you did it! 🏆 #Oscars #LeonardoDiCaprio",whooo go leo 🏆
-1,"RT @ajplus: The #Oscars this year are white. Like, really white. As in ALL-white.

#OscarsSoWhite
https://t.co/bHNecAlwT0",year white like really white allwhite
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
-1,"RT @paddypower: Liverpool's Albert Moreno cruelly overlooked at the Oscars, as well. He's been pretending to be a Premier League defender f…",liverpools albert moreno cruelly overlooked oscars well pretending premier league defender f…
0,"RT @WhiteHouse: Climate change ""is the most urgent threat facing our entire species.""

RT if you agree with @LeoDiCaprio. #Oscars https://t…",climate change most urgent threat facing our entire species agree
-1,RT @TomyKMonster: Rachel McAdams and Kate Winslet crying after Lady Gaga’s performance. #Oscars https://t.co/DdX0fOunaJ,rachel mcadams kate winslet crying lady ga’s performance
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
0,"Lady Gaga in The Oscars 2016 88th Academy Awards of ""Til It Happens To Y...via  https://t.co/MZA1vRbBHO https://t.co/BbCNb49m9j",lady ga oscars 2016 88th academy awards til happens yvia
-1,"RT @SecuteBelieber: the heart will go on 

#Oscars https://t.co/RJunumT6IG",heart will go
0,"RT @danisnotonfire: shoutout to the real winners of the #Oscars this evening - visibility for lgbt, climate change, sexual abuse victims an…",shoutout real winners evening visibility lgbt climate change sexual abuse victims an…
0,"RT @NotSoSnob: But Spotlight shows the country in so bad light, the church in worst case. Such anti-national film bagged the top award. hey…",spotlight shows country bad light church worst case such antinational film bagged top award hey…
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
0,"The wait is over, #LeonardoDiCaprio finally wins at the #Oscars! And the return of #AliG!",wait over finally wins return
0,RT @BBCNewsEnts: And best lead actor goes to Leonardo DiCaprio who's won for The Revenant after 4 previous acting nominations #Oscars https…,best lead actor goes leonardo dicaprio won revenant 4 previous acting nominations https…
1,"RT @MadMaxMovie: They will ride eternal, shiny and with Oscar gold. Congrats to the team from #MadMax: Fury Road. #Oscars https://t.co/FXQa…",will ride eternal shiny oscar gold congrats team fury road
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
1,RT @tomlateralinson: #LeonardoDiCaprio Deserved to win the Oscar for best actor and for all the hard work he has done through the years. 😭👏…,deserved win oscar best actor hard work done years 😭👏…
1,"RT @_collectively: Congrats @LeoDiCaprio, King of the world #oscars https://t.co/o1EvRzS5Yn",congrats king world
1,RT @harpersbazaarus: KATE + LEO FOREVER https://t.co/D3Jh8ljFEB #Oscars https://t.co/MEexAi05iM,kate leo forever
0,RT @WORIDSTARHIPH0P: LEO'S FULL SPEECH RT TO SAVE A LIFE https://t.co/8rsIBrpaZx,leos full speech save life
1,RT @G1MENA: This is love #Oscars https://t.co/bvt1ML1iV3,love
-1,"RT @getfandom: It finally happened, and the Internet has been reborn. #Oscars #LeonardoDiCaprio #TheRevenant https://t.co/GV3LruKoTN",finally happened internet reborn
0,"RT @HistoryPixs: Leonardo DiCaprio and Johnny Depp in the film ""What's Eating Gilbert Grape"". #Oscars https://t.co/AvBA2rgZk8",leonardo dicaprio johnny depp film eating gilbert grape
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
0,Kerry Washington's Hairstylist Dishes on Her Oscars Ponytail https://t.co/8OYCFP2GXk https://t.co/s6LKfqOsKN,kerry washingtons hairstylist dishes oscars ponytail
1,CONGRATS LEO! GLAD TO HEAR THAT! 😊😉 #Oscars,congrats leo glad hear 😊😉
1,RT @hmvtweets: RT &amp; tweet which film YOU think will win #BestPicture at the #Oscars for a chance to win £30 voucher. Use #hmvAwards https:/…,tweet film think will win chance win £30 voucher use
0,RT @PookisMahi: Oscars 2016: The complete list of winners and nominees https://t.co/mHhqoSqU0S,oscars 2016 complete list winners nominees
1,RT @tomlateralinson: #LeonardoDiCaprio Deserved to win the Oscar for best actor and for all the hard work he has done through the years. 😭👏…,deserved win oscar best actor hard work done years 😭👏…
1,RT @VanityFair: Rachel McAdams standing pretty in pink https://t.co/cwbD0pohxd #VFOscarParty https://t.co/lwRUsE3Fkl,rachel mcadams standing pretty pink
-1,RT @RubyRose: So you mean to tell me that @justinbieber was 1 year old when Toy story came out 😑 feeling old #oscars,mean tell 1 year old toy story came 😑 feeling old
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
0,"RT @Arturo_Sarukhan: Eat your heart out #Trump: 👉🏻 #Mexican talent, vision &amp; hard work in the U.S. wins #Oscars for three years in a row",eat heart 👉🏻 talent vision hard work wins three years row
1,RT @Amina_1Dx: Leo's speech is honestly everything what an incredible man #Oscar #humanity https://t.co/SwqVMrLmBb,leos speech honestly everything incredible man
0,RT @Newsweek: 'Spotlight' makes history: It's the first movie about journalism to win 'Best Picture' in 70 years https://t.co/DSZmsg69R6,spotlight makes history first movie journalism win best picture 70 years
-1,"RT @IMDb: #Spotlight producer: ""These things are still happening. The story of Spotlight has really just begun."" #Oscars #IMDbOscars",producer things still happening story spotlight really just begun
0,RT @KittiSmit: “Climate change is real. It's the most urgent threat facing our entire species.” Leonardo DiCaprio #Oscars #NationTV https:/…,“climate change real most urgent threat facing our entire species” leonardo dicaprio
1,"RT @TheDannyDub: Leo always gets the last laugh. 

🖕🏼

#Oscars #LeonardoDiCaprio https://t.co/F2kJFL4l4h",leo always gets last laugh 🖕🏼
0,RT @PookisMahi: Oscars 2016: The complete list of winners and nominees https://t.co/mHhqoSqU0S,oscars 2016 complete list winners nominees
-1,"23 years after his first nom in 1996, HE DID IT, seriously couldn't be any more happy for @LeoDiCaprio ❤️ #Oscars https://t.co/LSNsb68NZw",23 years first nom 1996 seriously couldnt notmore happy ❤️
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
-1,"@LeoDiCaprio Whole world wanted an OSCAR for u... Success has no words beyond it....
Congratulations SIRRRRR...
#Oscars",whole world wanted oscar success no notwords beyond congratulations sirrr
0,"RT @IndianExpress: PHOTOS | #Oscars 2016: @priyankachopra wears jewellery worth $3.2 mln
https://t.co/lKPvk5PsgZ https://t.co/PXEKhkoduL",photos 2016 wears jewellery worth $32 mln
-1,"RT @berry_sck: This brought tears to my eyes. Leonardo Di Caprio and Kate Winslet are precious. #Oscars

 https://t.co/UHSg7KFIW6",brought tears eyes leonardo di caprio kate winslet precious
1,"RT @VanityFair: The dream team has arrived 
https://t.co/xvjxE12xdP #Oscars #TeamLeo https://t.co/qmDDYGYPDr",dream team arrived
0,"RT @danisnotonfire: shoutout to the real winners of the #Oscars this evening - visibility for lgbt, climate change, sexual abuse victims an…",shoutout real winners evening visibility lgbt climate change sexual abuse victims an…
1,RT @GlamourMagUK: Was Lady Gaga's makeup your favourite beauty look of the #Oscars? https://t.co/z9BZVwQn5X https://t.co/6MjyEjYU1P,lady gas makeup favourite beauty look
1,"RT @ShujaRabbani: So, did Leonardo DiCaprio finally win that Oscar or not? #Oscars #OscarsSoWhite #OscarsRedCarpet #OscarsEnTNT #OscarsLive…",leonardo dicaprio finally win oscar
0,"RT @ABCNetwork: .@SamsungMobileUS presents Leo's Best Actor #Oscars acceptance speech!
 https://t.co/ARdLyQrvjQ via @choding309",presents leos best actor acceptance speech
-1,"RT @SeriesBrazil: Lady Gaga no palco cantando ""Til It Happens to You"". #Oscars #CoberturaSB https://t.co/vl7pY9bC5l",lady ga no notpalco cantando til happens
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
1,RT @ItsNSoriano: Pretty much! Congrats @LeoDiCaprio ❤️🏆 #Oscars https://t.co/yxE9MO0lDx,pretty much congrats ❤️🏆
1,RT @SadHappyAmazing: Congrats to Leonardo DiCaprio! Well deserved! 🎉👏 #Oscars https://t.co/cwrV4FIHxP,congrats leonardo dicaprio well deserved 🎉👏
0,RT @KeshaRose: thank u @ladygaga and VP @JoeBiden for bringing attention to sexual assault at the oscars. it hit very close to my heart for…,thank vp bringing attention sexual assault oscars hit very close heart for…
1,Best dress of the night #Oscars  https://t.co/HEYOk6C3jB,best dress night
1,"RT @SdfNik: ""Let us not take this #planet for granted"" -@UN Messenger of #Peace @LeoDiCaprio #ClimateChange #Oscars @GaryLewisUN https://t.…",let take granted messenger
-1,"RT @MisterPreda: An absolutely magical night experiencing old Hollywood glamour at its finest, a night I'll never forget. Thank you, Oscars…",absolutely magical night experiencing old hollywood glamour finest night never forget thank oscars…
1,#Tech News: Watch the Oscars 2016 red carpet looks - The stars graced the red carpet for the 88th Academy Award... https://t.co/nlIF01eRk2,news watch oscars 2016 red carpet looks stars graced red carpet 88th academy award
1,"RT @BetteMidler: The Oscars are today! You know, the awards show where Leonardo DiCaprio is ""overdue"" but black people can ""wait till next …",oscars today know awards show leonardo dicaprio overdue black people wait till next
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
0,RT @LeoDiCaprioFans: Leo's full Oscar speech. https://t.co/s1nD9bUptb,leos full oscar speech
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
0,#Tech News: 5 times Priyanka Chopra floored fans at the Oscars https://t.co/MJxoJsRvfV,news 5 times priyanka chopra floored fans oscars
-1,"RT @andrewmartin95_: Well Leo finally won an Oscar and the internet goes nuts! Well done to the guy, he did earn it after all this time #Os…",well leo finally won oscar internet goes nuts well done guy earn time
-1,RT @SummerNazif: MY HEART CAN'T GO ON LIKE THIS. #Oscars https://t.co/9u8f2O6Z7j,heart cant notgo like
1,"RT @Frau_Boateng: STARTED FROM THE BOTTOM...
#Oscars #LeonardoDiCaprio https://t.co/gNMqRYswd6",started bottom
1,RT @NYMag: Take a look back at the film career of Oscar-winner Leonardo DiCaprio: https://t.co/SITZCvPofc #Oscars https://t.co/mlEMjED7ME,take look back film career oscarwinner leonardo dicaprio
0,"RT @SexualGif: LEO'S FULL SPEECH

RT TO SAVE A LIFE https://t.co/nYlzSJRseg",leos full speech save life
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
-1,"RT @Lovemymessi: Yaaaaaaaaaayyyyyyyyy!!!! He won oscar!!! &lt;3 at last... Awwwww... love u :-*
#LeonardoDiCaprio #Oscars https://t.co/xk2grbe…",yaayyy won oscar &lt3 last awww love
0,"RT @tasharowmanoff: LOOK AT CHRIS EVANS, DAMNNNNN CHRISTOPHER, DAMNNN #OSCARS https://t.co/bjTVQ468pl",look chris evans damnnn christopher damnnn
1,RT @jesseydeleon: FINALLY!!!! Proud of u baby LOL #oscars https://t.co/ElNzAaU5XJ,finally proud baby lol
0,Stunning Montage Shows Leo’s Reaction Every Time He Lost At The Oscars [Video]   https://t.co/i59lM74Sb7,stunning montage shows leo’s reaction every time lost oscars video]
1,We are loving @LeoDiCaprio's #Oscars best actor winning speech. Amazing #ClimateChange leadership! https://t.co/ifJF87Fy10,loving s best actor winning speech amazing leadership
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
0,"RT @daanialler: ""leo took the time to mention climate change &amp; indigenous people in a moment he could have focused on himself"" this man is …",leo took time mention climate change indigenous people moment focused man
-1,Chris Rock's Oscars monologue: The best celebrity reaction gifs https://t.co/L23c5pfgpO https://t.co/NUdxDtnTA4,chris rocks oscars monologue best celebrity reaction gifs
0,"RT @MTV: And we do not take you for granted, @LeoDiCaprio: https://t.co/29M4J5oYMv #Oscars https://t.co/Zqg8CoV6o6",take granted
0,"RT @WhiteHouse: Climate change ""is the most urgent threat facing our entire species.""

RT if you agree with @LeoDiCaprio. #Oscars https://t…",climate change most urgent threat facing our entire species agree
-1,"RT @Kathyyx_: It’s all over now, no more Leo memes. We can all go home now. :( #Oscars https://t.co/qVBcncren7",it’s over now no notmore leo mes go home now
1,"RT @Monsieur_RJ: LOOOOOOOOOOOL ""@paynhero: THE BEST REACTION😂 #Oscars https://t.co/GQZ39OKdcG""",loool best reaction😂
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
0,RT @SadHappyAmazing: Alan Rickman in 1970s.  Rest in peace. #Oscars https://t.co/4AKa40dT6L,alan rickman 1970s rest peace
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
-1,RT @HeeriPeeri: So precious this. #Oscars #LeoKate https://t.co/lJiw6JhtSx,precious
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
0,"Every time Chris Rock spoke, all I could hear was the zebra from Madagascar #Oscars",every time chris rock spoke hear zebra madagascar
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
1,RT @ronanofficial: Congrats to @LeoDiCaprio for his first @Oscars_Live not just for @RevenantMovie but for what he has given us his entire …,congrats first just given entire
0,"RT @SweetLoveMsg: LEONARDO DICAPRIO WINNING THE ""BEST ACTOR"" #Oscars  2016 https://t.co/dqWq46mwww",leonardo dicaprio winning best actor 2016
1,RT @paynhero: THE BEST REACTION😂 #Oscars https://t.co/P04iPKwn6V,best reaction😂
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
0,"RT @girlposts: LEO'S FULL OSCAR ACCEPTANCE SPEECH

https://t.co/Xzu2my40KH",leos full oscar acceptance speech
-1,RT @pretareporter: #Oscars: @LadyGaga looked totally perfect in @brandonmaxwell https://t.co/wldJ1tcyVg https://t.co/bQLfRYgm7F,looked totally perfect
0,RT @BazaarUK: Watch Leonardo DiCaprio's Oscar acceptance speech here: https://t.co/f1BCRVz7yt #Oscars https://t.co/UaU9FLncGe,watch leonardo dicaprios oscar acceptance speech
1,Oscars 2016: Full List of Winners https://t.co/4PRUzkg3DB via @Talkmuzikdotcom,oscars 2016 full list winners
0,"RT @CNN: ""We want opportunities ..."" Highlights from #ChrisRock's opening monologue at the #Oscars https://t.co/QK28HefPOh https://t.co/Px9…",want opportunities highlights s opening monologue
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
1,RT @getshxrlock: THIS IS A FRIENDSHIP #Oscars https://t.co/1be7717OVu,friendship
1,"My portrait of Alejandro Gonzalez #Inarritu, winner best #director, #oscars #movies #cinema , #hollywood #revenant https://t.co/BqhgUYpkzZ",portrait alejandro gonzalez winner best
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
0,RT @NZStuff: Oscars: Kiwi victory and disappointment at film's biggest day out https://t.co/YVFIqzgiRr https://t.co/36HqhI8WVN,oscars kiwi victory disappointment films biggest day
1,RT @Awards_Oscars: Beautiful Jennifer Lawrence! #Oscars https://t.co/HPHhhr4Wlw,beautiful jennifer lawrence
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
1,RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars,thank academy incredible cast crew
1,Video game oscars (kind of): https://t.co/rpBdYky1XD,video game oscars kind
1,RT @_OnlyWayIsEssex: Leonardo DiCaprio &amp; Kate Winslet need to be a couple 😍😩 #Oscars #Oscars2016 https://t.co/KUMcyLv8m3,leonardo dicaprio kate winslet need couple 😍😩
1,RT @DamnAddictions: THIS IS STILL FUNNY #Oscars  https://t.co/zntkyGNkdg,still funny
1,RT @BBCNewsEnts: Here's @LeoDiCaprio's message to the world after his #Oscars win https://t.co/0sKgEB71H0 https://t.co/PvrIrBar33,s message world win
-1,#Daybreaknation with Oscars and cooler weather.  https://t.co/dHVaDsFlje https://t.co/UnKJI8Nxfy,oscars cooler weather
1,"RT @filmfare: Check out the complete winners list of the 88th Academy Awards.

#Oscars

https://t.co/Oiad8v8ytI https://t.co/er2SRA8DPL",check complete winners list 88th academy awards
